Name,Gender,DOB,Document_Type,Document_Number,Address,Name_clean,Address_clean,Gender_clean,Document_type_clean,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
Zeeshan Chand,Other,17-01-1972,Aadhaar,3127 7029 7135,"H.No. 39, Lad Chowk, Jorhat 954201",zeeshan chand,hno 39 lad chowk jorhat 954201,other,aadhaar,False,zeeshan chand other 17011972 aadhaar 3127 7029 7135 hno 39 lad chowk jorhat 954201,-1,0.4,Medium
,Female,11-10-1973,Aadhaar,5077 2131 4680,"942, Bhagat Street, Raiganj-509621",nan,942 bhagat street raiganj509621,female,aadhaar,False,nan female 11101973 aadhaar 5077 2131 4680 942 bhagat street raiganj509621,-1,0.4,Medium
Lavanya Kanda,,20-01-1999,Aadhaar,6681 1814 3246,"08/335, Sood Road, Kumbakonam-834122",lavanya kanda,08335 sood road kumbakonam834122,nan,aadhaar,False,lavanya kanda nan 20011999 aadhaar 6681 1814 3246 08335 sood road kumbakonam834122,-1,0.4,Medium
Manjari Bail,Female,Unknown,PAN,HMICB3669K,"81/19, Kara Nagar, Bikaner 145944",manjari bail,8119 kara nagar bikaner 145944,female,pan,True,manjari bail female Unknown pan HMICB3669K 8119 kara nagar bikaner 145944,-1,0.0,Low
Himmat Dora,Other,12-06-1974,PAN,IIYPD5217T,"18/44, Jayaraman Road, Panvel 877308",himmat dora,1844 jayaraman road panvel 877308,other,pan,True,himmat dora other 12061974 pan IIYPD5217T 1844 jayaraman road panvel 877308,-1,0.0,Low
Jayesh Swamy,Other,05-08-1977,PAN,MUETS2958K,"78, Thakur Ganj, Kanpur 268456",jayesh swamy,78 thakur ganj kanpur 268456,other,pan,True,jayesh swamy other 05081977 pan MUETS2958K 78 thakur ganj kanpur 268456,-1,0.0,Low
Shamik Goda,Other,11-05-1975,Passport,C5916913,"18/07, Gade Zila, South Dumdum 267197",shamik goda,1807 gade zila south dumdum 267197,other,passport,True,shamik goda other 11051975 passport C5916913 1807 gade zila south dumdum 267197,-1,0.0,Low
Anvi Raju,,24-02-1989,Aadhaar,8285 5642 2099,"H.No. 72, Chopra Chowk, Pondicherry 569486",anvi raju,hno 72 chopra chowk pondicherry 569486,nan,aadhaar,False,anvi raju nan 24021989 aadhaar 8285 5642 2099 hno 72 chopra chowk pondicherry 569486,-1,0.4,Medium
Jivin Lad,Female,30-04-2007,Passport,U8255585,"529, Agate Chowk, Tirupati-404075",jivin lad,529 agate chowk tirupati404075,female,passport,True,jivin lad female 30042007 passport U8255585 529 agate chowk tirupati404075,-1,0.0,Low
,Female,12-09-1990,Aadhaar,6470 9254 9883,"H.No. 012, Roy Chowk, Korba-188976",nan,hno 012 roy chowk korba188976,female,aadhaar,False,nan female 12091990 aadhaar 6470 9254 9883 hno 012 roy chowk korba188976,-1,0.4,Medium
Dhanush Divan,Male,26-01-1983,Passport,M9699765,"H.No. 15, Mane Road, Morbi 466147",dhanush divan,hno 15 mane road morbi 466147,male,passport,True,dhanush divan male 26011983 passport M9699765 hno 15 mane road morbi 466147,-1,0.0,Low
Vivaan Swaminathan,Other,10-05-1974,PAN,LCYAS3841T,"H.No. 80, Cheema, Chittoor 849225",vivaan swaminathan,hno 80 cheema chittoor 849225,other,pan,True,vivaan swaminathan other 10051974 pan LCYAS3841T hno 80 cheema chittoor 849225,-1,0.0,Low
Pihu Raman,Male,13-02-1965,Aadhaar,5913 1192 6177,"69/401, Sahni Path, Hosur 173771",pihu raman,69401 sahni path hosur 173771,male,aadhaar,False,pihu raman male 13021965 aadhaar 5913 1192 6177 69401 sahni path hosur 173771,-1,0.4,Medium
,Female,11-11-1985,Passport,C3722397,"H.No. 32, Datta Zila, Lucknow 569904",nan,hno 32 datta zila lucknow 569904,female,passport,True,nan female 11111985 passport C3722397 hno 32 datta zila lucknow 569904,-1,0.0,Low
Ivana Jhaveri,Female,16-06-1972,PAN,UFOPJ5160A,,ivana jhaveri,nan,female,pan,True,ivana jhaveri female 16061972 pan UFOPJ5160A nan,-1,0.0,Low
Faiyaz Mahajan,Male,28-08-1967,Passport,P4949475,"85/48, Bhatti Circle, Aurangabad-492678",faiyaz mahajan,8548 bhatti circle aurangabad492678,male,passport,True,faiyaz mahajan male 28081967 passport P4949475 8548 bhatti circle aurangabad492678,-1,0.0,Low
Shalv Rama,Male,17-01-1984,Passport,C3264922,"H.No. 721, Dass Nagar, Begusarai-796957",shalv rama,hno 721 dass nagar begusarai796957,male,passport,True,shalv rama male 17011984 passport C3264922 hno 721 dass nagar begusarai796957,-1,0.0,Low
Chirag Sood,Female,13-11-1996,,Missing,"89/869, Borra, Agra-815354",chirag sood,89869 borra agra815354,female,nan,False,chirag sood female 13111996 nan Missing 89869 borra agra815354,-1,0.4,Medium
Priyansh Chandra,Other,05-11-1972,,Missing,"H.No. 86, Loke Marg, Phusro-692292",priyansh chandra,hno 86 loke marg phusro692292,other,nan,False,priyansh chandra other 05111972 nan Missing hno 86 loke marg phusro692292,-1,0.4,Medium
Lakshit Rastogi,Female,15-08-1988,PAN,ZTBLR3559W,"H.No. 10, Shankar, Jabalpur 267536",lakshit rastogi,hno 10 shankar jabalpur 267536,female,pan,True,lakshit rastogi female 15081988 pan ZTBLR3559W hno 10 shankar jabalpur 267536,-1,0.0,Low
Chirag Singhal,Other,27-11-1993,Aadhaar,2993 7868 6133,"63, Gulati Street, Warangal-461666",chirag singhal,63 gulati street warangal461666,other,aadhaar,False,chirag singhal other 27111993 aadhaar 2993 7868 6133 63 gulati street warangal461666,-1,0.4,Medium
Pranay Date,Other,02-07-1974,PAN,XMLAD0687Q,"27, Soman Chowk, Muzaffarpur 713350",pranay date,27 soman chowk muzaffarpur 713350,other,pan,True,pranay date other 02071974 pan XMLAD0687Q 27 soman chowk muzaffarpur 713350,-1,0.0,Low
Rhea Hora,Male,27-06-1987,Aadhaar,6653 6038 8222,,rhea hora,nan,male,aadhaar,False,rhea hora male 27061987 aadhaar 6653 6038 8222 nan,-1,0.4,Medium
Advik D’Alia,Male,09-01-1982,Passport,O6631819,"13/194, Agate Path, Munger-370620",advik dalia,13194 agate path munger370620,male,passport,True,advik dalia male 09011982 passport O6631819 13194 agate path munger370620,-1,0.0,Low
Shalv Hari,Male,02-01-2007,Aadhaar,3596 2407 3809,"047, Konda Chowk, Solapur-958336",shalv hari,047 konda chowk solapur958336,male,aadhaar,False,shalv hari male 02012007 aadhaar 3596 2407 3809 047 konda chowk solapur958336,-1,0.4,Medium
Shray Dhingra,Female,17-10-1964,Passport,V8919418,"H.No. 045, Shenoy Street, Karnal-697984",shray dhingra,hno 045 shenoy street karnal697984,female,passport,True,shray dhingra female 17101964 passport V8919418 hno 045 shenoy street karnal697984,-1,0.0,Low
Krish Korpal,Other,02-03-1971,Aadhaar,3415 1193 1471,"342, Arya Ganj, Panchkula-226063",krish korpal,342 arya ganj panchkula226063,other,aadhaar,False,krish korpal other 02031971 aadhaar 3415 1193 1471 342 arya ganj panchkula226063,-1,0.4,Medium
Darshit Venkatesh,Other,23-11-1968,PAN,ZYSCV5580M,"09/900, Sarma Ganj, Chinsurah-449982",darshit venkatesh,09900 sarma ganj chinsurah449982,other,pan,True,darshit venkatesh other 23111968 pan ZYSCV5580M 09900 sarma ganj chinsurah449982,-1,0.0,Low
Krish Chhabra,Other,31-10-2001,Passport,T3335769,"99/77, Kanda, Davanagere-976877",krish chhabra,9977 kanda davanagere976877,other,passport,True,krish chhabra other 31102001 passport T3335769 9977 kanda davanagere976877,-1,0.0,Low
Manikya Rama,Other,14-07-2006,Aadhaar,4724 8089 3268,"H.No. 141, D’Alia Path, Akola 473036",manikya rama,hno 141 dalia path akola 473036,other,aadhaar,False,manikya rama other 14072006 aadhaar 4724 8089 3268 hno 141 dalia path akola 473036,-1,0.4,Medium
Onkar Dar,Other,28-01-1998,Passport,X1232507,"79, Mander Nagar, Secunderabad 342188",onkar dar,79 mander nagar secunderabad 342188,other,passport,True,onkar dar other 28011998 passport X1232507 79 mander nagar secunderabad 342188,-1,0.0,Low
Rhea Chander,Female,08-06-1982,PAN,DCRGC8635D,"H.No. 770, Khosla Chowk, Bihar Sharif 588639",rhea chander,hno 770 khosla chowk bihar sharif 588639,female,pan,True,rhea chander female 08061982 pan DCRGC8635D hno 770 khosla chowk bihar sharif 588639,-1,0.0,Low
Khushi Gera,Female,18-03-1996,Aadhaar,2898 1993 8336,"591, Dara Road, Anantapur 907112",khushi gera,591 dara road anantapur 907112,female,aadhaar,False,khushi gera female 18031996 aadhaar 2898 1993 8336 591 dara road anantapur 907112,-1,0.4,Medium
Indranil Bora,Male,30-03-1995,PAN,TQVJB5059A,"29/775, Kuruvilla Marg, Chennai 883772",indranil bora,29775 kuruvilla marg chennai 883772,male,pan,True,indranil bora male 30031995 pan TQVJB5059A 29775 kuruvilla marg chennai 883772,-1,0.0,Low
Tara Virk,Male,16-11-2003,Passport,A7784668,"01/81, Varkey Nagar, Ratlam-874149",tara virk,0181 varkey nagar ratlam874149,male,passport,True,tara virk male 16112003 passport A7784668 0181 varkey nagar ratlam874149,-1,0.0,Low
Amani Tata,Male,09-05-1979,Passport,Z6953124,"H.No. 59, Jain Chowk, Moradabad-240067",amani tata,hno 59 jain chowk moradabad240067,male,passport,True,amani tata male 09051979 passport Z6953124 hno 59 jain chowk moradabad240067,-1,0.0,Low
Chirag Shetty,Female,08-03-1997,PAN,RRYJS4347G,"97/31, Buch Marg, Rohtak 533606",chirag shetty,9731 buch marg rohtak 533606,female,pan,True,chirag shetty female 08031997 pan RRYJS4347G 9731 buch marg rohtak 533606,-1,0.0,Low
Armaan Tak,Other,06-05-1984,Aadhaar,3770 4351 8332,"19/252, Lata, Jabalpur 687897",armaan tak,19252 lata jabalpur 687897,other,aadhaar,False,armaan tak other 06051984 aadhaar 3770 4351 8332 19252 lata jabalpur 687897,-1,0.4,Medium
Baiju Bhargava,Female,19-02-2001,Aadhaar,4279 7464 8239,"H.No. 31, Anand Nagar, Bardhaman 523558",baiju bhargava,hno 31 anand nagar bardhaman 523558,female,aadhaar,False,baiju bhargava female 19022001 aadhaar 4279 7464 8239 hno 31 anand nagar bardhaman 523558,-1,0.4,Medium
Nirvaan Tailor,Other,04-03-1996,PAN,WDYLT2530R,"H.No. 96, Sane Street, Bhimavaram 864960",nirvaan tailor,hno 96 sane street bhimavaram 864960,other,pan,True,nirvaan tailor other 04031996 pan WDYLT2530R hno 96 sane street bhimavaram 864960,-1,0.0,Low
Inaaya  Ramanathan,Male,06-07-1979,Passport,K3771684,"H.No. 88, Choudhary Street, Gandhidham-713198",inaaya  ramanathan,hno 88 choudhary street gandhidham713198,male,passport,True,inaaya  ramanathan male 06071979 passport K3771684 hno 88 choudhary street gandhidham713198,-1,0.0,Low
Vaibhav Dey,Other,24-10-1993,,Missing,"876, Vohra Zila, Gwalior 059154",vaibhav dey,876 vohra zila gwalior 059154,other,nan,False,vaibhav dey other 24101993 nan Missing 876 vohra zila gwalior 059154,-1,0.4,Medium
Fateh Sandhu,Female,Unknown,PAN,ZAZPS0641J,"58/53, Kala Circle, Nadiad-344250",fateh sandhu,5853 kala circle nadiad344250,female,pan,True,fateh sandhu female Unknown pan ZAZPS0641J 5853 kala circle nadiad344250,-1,0.0,Low
Jivin Chada,Male,05-03-1990,PAN,UKFTC0707C,"80/475, Bhatia Nagar, Kalyan-Dombivli-425370",jivin chada,80475 bhatia nagar kalyandombivli425370,male,pan,True,jivin chada male 05031990 pan UKFTC0707C 80475 bhatia nagar kalyandombivli425370,-1,0.0,Low
Umang Sachdev,Female,23-02-1995,PAN,XEDFS8800Q,"H.No. 260, Rajagopalan Circle, Surendranagar Dudhrej 685837",umang sachdev,hno 260 rajagopalan circle surendranagar dudhrej 685837,female,pan,True,umang sachdev female 23021995 pan XEDFS8800Q hno 260 rajagopalan circle surendranagar dudhrej 685837,-1,0.0,Low
Vedika Sarkar,Other,Unknown,PAN,SHHPS9901J,"H.No. 850, Ahuja Nagar, Phusro-781843",vedika sarkar,hno 850 ahuja nagar phusro781843,other,pan,True,vedika sarkar other Unknown pan SHHPS9901J hno 850 ahuja nagar phusro781843,-1,0.0,Low
Samarth Seshadri,Female,22-04-1976,Passport,V2211199,"75, Jaggi Marg, Rourkela-243173",samarth seshadri,75 jaggi marg rourkela243173,female,passport,True,samarth seshadri female 22041976 passport V2211199 75 jaggi marg rourkela243173,-1,0.0,Low
Darshit Maharaj,Male,13-07-1983,PAN,KLGTM8281I,"H.No. 233, Sarma Road, Gangtok 234382",darshit maharaj,hno 233 sarma road gangtok 234382,male,pan,True,darshit maharaj male 13071983 pan KLGTM8281I hno 233 sarma road gangtok 234382,-1,0.0,Low
Lagan Mander,Other,13-07-2005,PAN,KEQAM5190G,"63/590, Sundaram, Raichur-564636",lagan mander,63590 sundaram raichur564636,other,pan,True,lagan mander other 13072005 pan KEQAM5190G 63590 sundaram raichur564636,-1,0.0,Low
Hrishita Dara,Male,03-06-1986,Passport,E2953919,"388, Lala Zila, Serampore 849057",hrishita dara,388 lala zila serampore 849057,male,passport,True,hrishita dara male 03061986 passport E2953919 388 lala zila serampore 849057,-1,0.0,Low
Baiju Sampath,Other,12-06-1980,PAN,MPWJS6886C,"381, Sastry, Kochi-894445",baiju sampath,381 sastry kochi894445,other,pan,True,baiju sampath other 12061980 pan MPWJS6886C 381 sastry kochi894445,-1,0.0,Low
Tarini Ghosh,Male,29-10-1990,Aadhaar,2691 2131 2583,"86/177, Gopal Marg, Kharagpur-253480",tarini ghosh,86177 gopal marg kharagpur253480,male,aadhaar,False,tarini ghosh male 29101990 aadhaar 2691 2131 2583 86177 gopal marg kharagpur253480,-1,0.4,Medium
Anya Butala,Male,23-02-1969,,Missing,"99/87, Rastogi, Kanpur 497459",anya butala,9987 rastogi kanpur 497459,male,nan,False,anya butala male 23021969 nan Missing 9987 rastogi kanpur 497459,-1,0.4,Medium
Prerak Sahota,Female,30-04-1973,PAN,LMOCS9403Q,"725, Chana Nagar, Bharatpur 164927",prerak sahota,725 chana nagar bharatpur 164927,female,pan,True,prerak sahota female 30041973 pan LMOCS9403Q 725 chana nagar bharatpur 164927,-1,0.0,Low
Vritika Sharaf,Female,06-03-2005,PAN,DNIPS0163Z,"H.No. 54, Bhatti, Bahraich-992896",vritika sharaf,hno 54 bhatti bahraich992896,female,pan,True,vritika sharaf female 06032005 pan DNIPS0163Z hno 54 bhatti bahraich992896,-1,0.0,Low
Aarna Shere,Other,21-02-1986,PAN,AGLBS3785Z,"H.No. 68, Balan Circle, Indore-859129",aarna shere,hno 68 balan circle indore859129,other,pan,True,aarna shere other 21021986 pan AGLBS3785Z hno 68 balan circle indore859129,-1,0.0,Low
Taimur Rajagopal,Female,Unknown,,Missing,"80/726, Batra Path, Pimpri-Chinchwad-726182",taimur rajagopal,80726 batra path pimprichinchwad726182,female,nan,False,taimur rajagopal female Unknown nan Missing 80726 batra path pimprichinchwad726182,-1,0.4,Medium
Biju Suri,Male,02-12-1985,Aadhaar,7980 9051 8120,"75, Lala Street, Miryalaguda 243686",biju suri,75 lala street miryalaguda 243686,male,aadhaar,False,biju suri male 02121985 aadhaar 7980 9051 8120 75 lala street miryalaguda 243686,-1,0.4,Medium
Abram Khanna,Female,28-07-1971,PAN,RVQHK3328N,"04, Dave Marg, Khandwa 884082",abram khanna,04 dave marg khandwa 884082,female,pan,True,abram khanna female 28071971 pan RVQHK3328N 04 dave marg khandwa 884082,-1,0.0,Low
Nitara Sarraf,,24-10-1973,Passport,Y3920383,"97/223, Yohannan Ganj, Kottayam 686117",nitara sarraf,97223 yohannan ganj kottayam 686117,nan,passport,True,nitara sarraf nan 24101973 passport Y3920383 97223 yohannan ganj kottayam 686117,-1,0.0,Low
Shamik Shanker,Female,10-11-1978,PAN,HPVAS0418C,"83/886, Seshadri Marg, Danapur 048917",shamik shanker,83886 seshadri marg danapur 048917,female,pan,True,shamik shanker female 10111978 pan HPVAS0418C 83886 seshadri marg danapur 048917,-1,0.0,Low
Tara Biswas,Other,Unknown,PAN,NJUTB2763I,"H.No. 510, Bhavsar Marg, Kollam-291493",tara biswas,hno 510 bhavsar marg kollam291493,other,pan,True,tara biswas other Unknown pan NJUTB2763I hno 510 bhavsar marg kollam291493,-1,0.0,Low
Fateh D’Alia,,28-12-2006,Passport,B7168366,"48/47, Arya Zila, Bilaspur-529256",fateh dalia,4847 arya zila bilaspur529256,nan,passport,True,fateh dalia nan 28122006 passport B7168366 4847 arya zila bilaspur529256,-1,0.0,Low
Aaryahi Bera,Female,14-05-2006,PAN,GWJCB4327V,"37/38, Chawla Chowk, Ghaziabad 974435",aaryahi bera,3738 chawla chowk ghaziabad 974435,female,pan,True,aaryahi bera female 14052006 pan GWJCB4327V 3738 chawla chowk ghaziabad 974435,-1,0.0,Low
Riya Rastogi,Other,22-12-1974,Aadhaar,9336 1188 6066,"H.No. 67, Sinha Ganj, Varanasi-288968",riya rastogi,hno 67 sinha ganj varanasi288968,other,aadhaar,False,riya rastogi other 22121974 aadhaar 9336 1188 6066 hno 67 sinha ganj varanasi288968,-1,0.4,Medium
Elakshi Buch,Male,12-03-1993,Aadhaar,2807 4252 5821,"63/908, Dixit Path, Miryalaguda-102105",elakshi buch,63908 dixit path miryalaguda102105,male,aadhaar,False,elakshi buch male 12031993 aadhaar 2807 4252 5821 63908 dixit path miryalaguda102105,-1,0.4,Medium
Veer Shroff,Male,10-06-2001,PAN,HXWGS8113P,"11/40, Divan Path, Noida-985099",veer shroff,1140 divan path noida985099,male,pan,True,veer shroff male 10062001 pan HXWGS8113P 1140 divan path noida985099,-1,0.0,Low
Ira Ramachandran,Other,13-05-1969,Passport,B6905556,"59, Suri Chowk, Cuttack-891252",ira ramachandran,59 suri chowk cuttack891252,other,passport,True,ira ramachandran other 13051969 passport B6905556 59 suri chowk cuttack891252,-1,0.0,Low
Mehul Chowdhury,Other,26-12-1981,Aadhaar,6268 8760 4392,"91/04, Setty Road, Imphal-152390",mehul chowdhury,9104 setty road imphal152390,other,aadhaar,False,mehul chowdhury other 26121981 aadhaar 6268 8760 4392 9104 setty road imphal152390,-1,0.4,Medium
Zeeshan Khosla,Other,09-04-2000,Aadhaar,5992 7154 9273,,zeeshan khosla,nan,other,aadhaar,False,zeeshan khosla other 09042000 aadhaar 5992 7154 9273 nan,-1,0.4,Medium
Anya Gaba,Female,09-04-1992,PAN,SSJPG3175Y,"691, Loyal Zila, Secunderabad 363132",anya gaba,691 loyal zila secunderabad 363132,female,pan,True,anya gaba female 09041992 pan SSJPG3175Y 691 loyal zila secunderabad 363132,-1,0.0,Low
Jhanvi Sinha,Male,06-08-1973,Aadhaar,4582 3674 6873,"H.No. 404, Dara Path, Satara-486348",jhanvi sinha,hno 404 dara path satara486348,male,aadhaar,False,jhanvi sinha male 06081973 aadhaar 4582 3674 6873 hno 404 dara path satara486348,-1,0.4,Medium
Anya Singhal,Male,15-02-1973,Passport,H5839260,"H.No. 782, Bhat Ganj, Adoni-224457",anya singhal,hno 782 bhat ganj adoni224457,male,passport,True,anya singhal male 15021973 passport H5839260 hno 782 bhat ganj adoni224457,-1,0.0,Low
Aarush Batta,Male,13-02-1969,,Missing,"104, Zacharia Ganj, Cuttack-386861",aarush batta,104 zacharia ganj cuttack386861,male,nan,False,aarush batta male 13021969 nan Missing 104 zacharia ganj cuttack386861,-1,0.4,Medium
Navya Varghese,Male,27-11-1983,PAN,LSFJV5657L,"H.No. 51, Gola Nagar, Anantapuram-839618",navya varghese,hno 51 gola nagar anantapuram839618,male,pan,True,navya varghese male 27111983 pan LSFJV5657L hno 51 gola nagar anantapuram839618,-1,0.0,Low
Abram Issac,Female,10-08-1972,PAN,UYUBI2639X,"92/063, Bhagat Zila, Ramagundam-818523",abram issac,92063 bhagat zila ramagundam818523,female,pan,True,abram issac female 10081972 pan UYUBI2639X 92063 bhagat zila ramagundam818523,-1,0.0,Low
Sumer Tara,Female,28-03-1966,PAN,SPVAT2434S,"41/005, Cherian Marg, Salem 398599",sumer tara,41005 cherian marg salem 398599,female,pan,True,sumer tara female 28031966 pan SPVAT2434S 41005 cherian marg salem 398599,-1,0.0,Low
Bhavin Wadhwa,Female,13-04-1997,PAN,JLHAW8708X,"19, Sabharwal Marg, Kurnool-272632",bhavin wadhwa,19 sabharwal marg kurnool272632,female,pan,True,bhavin wadhwa female 13041997 pan JLHAW8708X 19 sabharwal marg kurnool272632,-1,0.0,Low
,Other,01-02-2001,PAN,TJIHB8135J,"12/33, Shenoy Ganj, Ulhasnagar 530282",nan,1233 shenoy ganj ulhasnagar 530282,other,pan,True,nan other 01022001 pan TJIHB8135J 1233 shenoy ganj ulhasnagar 530282,-1,0.0,Low
Kanav Ganesh,Male,11-04-1995,Aadhaar,7057 1306 6041,"51, Sabharwal Ganj, Davanagere 216637",kanav ganesh,51 sabharwal ganj davanagere 216637,male,aadhaar,False,kanav ganesh male 11041995 aadhaar 7057 1306 6041 51 sabharwal ganj davanagere 216637,-1,0.4,Medium
Hridaan Gopal,Other,19-11-1970,PAN,ZOFFG8283J,"08/586, Roy Circle, Mahbubnagar-790792",hridaan gopal,08586 roy circle mahbubnagar790792,other,pan,True,hridaan gopal other 19111970 pan ZOFFG8283J 08586 roy circle mahbubnagar790792,-1,0.0,Low
Himmat Tella,Female,14-01-1994,Aadhaar,6929 9362 8370,"H.No. 254, Kamdar Chowk, Mangalore-617595",himmat tella,hno 254 kamdar chowk mangalore617595,female,aadhaar,False,himmat tella female 14011994 aadhaar 6929 9362 8370 hno 254 kamdar chowk mangalore617595,-1,0.4,Medium
Kismat Sastry,Other,15-07-1970,Passport,A1049767,"06, Goel Street, Mathura-223792",kismat sastry,06 goel street mathura223792,other,passport,True,kismat sastry other 15071970 passport A1049767 06 goel street mathura223792,-1,0.0,Low
Ojas Tandon,,07-07-1990,Aadhaar,9157 7421 9580,"10/693, Lal Street, Bhavnagar 830575",ojas tandon,10693 lal street bhavnagar 830575,nan,aadhaar,False,ojas tandon nan 07071990 aadhaar 9157 7421 9580 10693 lal street bhavnagar 830575,-1,0.4,Medium
Arhaan Saraf,Male,01-01-1993,Passport,C3590036,"243, Sehgal Path, Kavali-385377",arhaan saraf,243 sehgal path kavali385377,male,passport,True,arhaan saraf male 01011993 passport C3590036 243 sehgal path kavali385377,-1,0.0,Low
Lavanya Rama,Other,27-04-1985,Aadhaar,4600 4830 2414,"17/526, Raman Road, Gulbarga 581713",lavanya rama,17526 raman road gulbarga 581713,other,aadhaar,False,lavanya rama other 27041985 aadhaar 4600 4830 2414 17526 raman road gulbarga 581713,-1,0.4,Medium
Aaryahi Sachdeva,Male,28-04-1992,Passport,L3155590,"080, Ahuja, Jalandhar 414597",aaryahi sachdeva,080 ahuja jalandhar 414597,male,passport,True,aaryahi sachdeva male 28041992 passport L3155590 080 ahuja jalandhar 414597,-1,0.0,Low
Jayant Ranganathan,Female,12-12-1974,PAN,MPGBR9684F,"90/99, Chahal, Gandhinagar 577527",jayant ranganathan,9099 chahal gandhinagar 577527,female,pan,True,jayant ranganathan female 12121974 pan MPGBR9684F 9099 chahal gandhinagar 577527,-1,0.0,Low
Zara Edwin,Male,12-10-1995,Aadhaar,7372 9581 4749,"91/30, Zacharia, Guwahati-081327",zara edwin,9130 zacharia guwahati081327,male,aadhaar,False,zara edwin male 12101995 aadhaar 7372 9581 4749 9130 zacharia guwahati081327,-1,0.4,Medium
Emir Ben,Male,06-07-1965,PAN,SHLBB2048V,"H.No. 65, Dewan Zila, Ramagundam-439818",emir ben,hno 65 dewan zila ramagundam439818,male,pan,True,emir ben male 06071965 pan SHLBB2048V hno 65 dewan zila ramagundam439818,-1,0.0,Low
Anahi Aurora,Other,17-03-1996,PAN,IRVGA1776P,"95, Sathe Nagar, Nagpur 681719",anahi aurora,95 sathe nagar nagpur 681719,other,pan,True,anahi aurora other 17031996 pan IRVGA1776P 95 sathe nagar nagpur 681719,-1,0.0,Low
Taran Gokhale,Male,20-07-1983,Aadhaar,7147 9100 9154,"09/59, Aggarwal Zila, Kharagpur-196688",taran gokhale,0959 aggarwal zila kharagpur196688,male,aadhaar,False,taran gokhale male 20071983 aadhaar 7147 9100 9154 0959 aggarwal zila kharagpur196688,-1,0.4,Medium
Ivan Sankaran,Other,26-04-1985,,Missing,"68, Kannan Road, Surat 393932",ivan sankaran,68 kannan road surat 393932,other,nan,False,ivan sankaran other 26041985 nan Missing 68 kannan road surat 393932,-1,0.4,Medium
Renee Bhattacharyya,Female,25-08-1975,Aadhaar,4451 7636 6989,"959, Wable, Dindigul-495226",renee bhattacharyya,959 wable dindigul495226,female,aadhaar,False,renee bhattacharyya female 25081975 aadhaar 4451 7636 6989 959 wable dindigul495226,-1,0.4,Medium
Onkar Ramakrishnan,Male,03-05-1991,PAN,CXTCR6616A,"H.No. 540, Singh Zila, Sri Ganganagar-599480",onkar ramakrishnan,hno 540 singh zila sri ganganagar599480,male,pan,True,onkar ramakrishnan male 03051991 pan CXTCR6616A hno 540 singh zila sri ganganagar599480,-1,0.0,Low
Ishaan Tailor,Female,Unknown,Aadhaar,2711 9380 5220,"064, Tandon Path, Rajpur Sonarpur-874995",ishaan tailor,064 tandon path rajpur sonarpur874995,female,aadhaar,False,ishaan tailor female Unknown aadhaar 2711 9380 5220 064 tandon path rajpur sonarpur874995,-1,0.4,Medium
Jayesh Gade,Other,18-01-1986,PAN,YZDGG9995M,"H.No. 727, Mammen Circle, Ajmer-027144",jayesh gade,hno 727 mammen circle ajmer027144,other,pan,True,jayesh gade other 18011986 pan YZDGG9995M hno 727 mammen circle ajmer027144,-1,0.0,Low
Kaira Chada,,21-09-2005,Passport,T9742748,"92, Sur Marg, Hospet-071839",kaira chada,92 sur marg hospet071839,nan,passport,True,kaira chada nan 21092005 passport T9742748 92 sur marg hospet071839,-1,0.0,Low
Aarav Srinivas,Male,21-04-2002,PAN,MKJJS5087O,"H.No. 71, Singhal Road, Visakhapatnam 063827",aarav srinivas,hno 71 singhal road visakhapatnam 063827,male,pan,True,aarav srinivas male 21042002 pan MKJJS5087O hno 71 singhal road visakhapatnam 063827,-1,0.0,Low
Shray Jayaraman,Female,26-10-1992,PAN,PXLFJ7827F,"H.No. 57, Mall Street, Ratlam 240315",shray jayaraman,hno 57 mall street ratlam 240315,female,pan,True,shray jayaraman female 26101992 pan PXLFJ7827F hno 57 mall street ratlam 240315,-1,0.0,Low
Rania Khalsa,Female,03-02-2005,PAN,IVXCK3190A,"H.No. 58, Gera Road, Bhiwani 589796",rania khalsa,hno 58 gera road bhiwani 589796,female,pan,True,rania khalsa female 03022005 pan IVXCK3190A hno 58 gera road bhiwani 589796,-1,0.0,Low
Vritika Mann,Male,01-04-1990,,Missing,"41, Bedi Circle, Jamnagar 054136",vritika mann,41 bedi circle jamnagar 054136,male,nan,False,vritika mann male 01041990 nan Missing 41 bedi circle jamnagar 054136,-1,0.4,Medium
,Male,25-03-1978,Passport,N8390195,"63/92, Chahal Path, Warangal-191575",nan,6392 chahal path warangal191575,male,passport,True,nan male 25031978 passport N8390195 6392 chahal path warangal191575,-1,0.0,Low
,Other,02-04-1965,Aadhaar,4265 7188 4133,"913, Choudhary Zila, Maheshtala 799635",nan,913 choudhary zila maheshtala 799635,other,aadhaar,False,nan other 02041965 aadhaar 4265 7188 4133 913 choudhary zila maheshtala 799635,-1,0.4,Medium
Stuvan Loke,Other,22-10-1977,PAN,LFRCL9481O,"41/67, Kulkarni Path, Allahabad 611945",stuvan loke,4167 kulkarni path allahabad 611945,other,pan,True,stuvan loke other 22101977 pan LFRCL9481O 4167 kulkarni path allahabad 611945,-1,0.0,Low
